exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;67321660,04;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;7030651,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;61886854,05;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;7030651,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;9073972,62;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;7750082,88;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;3762767,87;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;1640243,80;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.00.00;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;1279902,09;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.31.00;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;1250628,24;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.34.00;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;29273,85;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.08.00.00;"1.1.1.2.08.00.00 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";842621,98;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.00.00.00;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;3987315,01;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.05.00.00;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;3987315,01;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.0.00.00.00;1.1.2.0.00.00.00 - Taxas;1323889,74;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.1.00.00.00;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;731665,90;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.2.00.00.00;1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços;592223,84;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.0.0.00.00.00;1.2.0.0.00.00.00 - Receitas de Contribuições;1445796,97;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.3.0.00.00.00;1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública;1445796,97;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.0.0.00.00.00;1.3.0.0.00.00.00 - Receita Patrimonial;932939,66;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.1.0.00.00.00;1.3.1.0.00.00.00 - Receitas Imobiliárias;45014,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.1.1.00.00.00;1.3.1.1.00.00.00 - Aluguéis;45014,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.2.0.00.00.00;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;887925,53;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.2.5.00.00.00;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;887925,53;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.6.0.0.00.00.00;1.6.0.0.00.00.00 - Receita de Serviços;46418,52;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.6.0.0.13.00.00;1.6.0.0.13.00.00 - Serviços Administrativos;46418,52;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.0.0.00.00.00;1.7.0.0.00.00.00 - Transferências Correntes;49030338,02;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.0.0.00.00.00;1.7.0.0.00.00.00 - Transferências Correntes;7030651,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.0.00.00.00;1.7.2.0.00.00.00 - Transferências Intergovernamentais;46519596,19;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.0.00.00.00;1.7.2.0.00.00.00 - Transferências Intergovernamentais;7030651,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.00.00.00;1.7.2.1.00.00.00 - Transferências da União;18936386,10;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.00.00.00;1.7.2.1.00.00.00 - Transferências da União;2636197,37;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.01.00.00;1.7.2.1.01.00.00 - Participação na Receita da União;11092806,05;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.01.00.00;1.7.2.1.01.00.00 - Participação na Receita da União;2630208,05;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.01.02.00;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;10888141,94;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.01.02.00;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;2579042,19;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.01.05.00;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;204664,11;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.01.05.00;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;51165,86;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.22.00.00;1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais;737600,28;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.22.20.00;1.7.2.1.22.20.00 - Cota-Parte da Compensação Financeira de Recursos Minerais - CFEM;427931,57;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.22.70.00;1.7.2.1.22.70.00 - Cota-Parte do Fundo Especial do Petróleo ¿ FEP;201064,52;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.22.90.00;1.7.2.1.22.90.00 - Outras Transferências Decorrentes de Compensação Financeira pela Exploração de Recursos Naturais;108604,19;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.33.00.00;1.7.2.1.33.00.00 - Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses Fundo a Fundo;5574991,60;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.34.00.00;1.7.2.1.34.00.00 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS;327904,91;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.35.00.00;1.7.2.1.35.00.00 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE;924563,82;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.36.00.00;1.7.2.1.36.00.00 - Transferências Financeiras do ICMS ¿ Desoneração ¿ L.C. Nº 87/96;23957,76;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.36.00.00;1.7.2.1.36.00.00 - Transferências Financeiras do ICMS ¿ Desoneração ¿ L.C. Nº 87/96;5989,32;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.99.00.00;1.7.2.1.99.00.00 - Outras Transferências da União;254561,68;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.00.00.00;1.7.2.2.00.00.00 - Transferências dos Estados;17712781,80;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.2.00.00.00;1.7.2.2.00.00.00 - Transferências dos Estados;4394453,76;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.01.00.00;1.7.2.2.01.00.00 - Participação na Receita dos Estados;17587176,22;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.2.01.00.00;1.7.2.2.01.00.00 - Participação na Receita dos Estados;4394453,76;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.01.01.00;1.7.2.2.01.01.00 - Cota-Parte do ICMS;15235557,08;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.2.01.01.00;1.7.2.2.01.01.00 - Cota-Parte do ICMS;3808889,00;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.01.02.00;1.7.2.2.01.02.00 - Cota-Parte do IPVA;2279105,56;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.2.01.02.00;1.7.2.2.01.02.00 - Cota-Parte do IPVA;569776,73;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.01.04.00;1.7.2.2.01.04.00 - Cota-Parte do IPI sobre Exportação;63152,09;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.2.01.04.00;1.7.2.2.01.04.00 - Cota-Parte do IPI sobre Exportação;15788,03;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.01.13.00;1.7.2.2.01.13.00 - Cota-Parte da Contribuição de Intervenção no Domínio Econômico;9361,49;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.2.33.00.00;1.7.2.2.33.00.00 - Transferências de Recursos do Estado para Programas de Saúde - Repasse Fundo a Fundo;125605,58;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.4.00.00.00;1.7.2.4.00.00.00 - Transferências Multigovernamentais;9870428,29;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.4.01.00.00;1.7.2.4.01.00.00 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB;9870428,29;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.6.0.00.00.00;1.7.6.0.00.00.00 - Transferências de Convênios;2510741,83;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.6.2.00.00.00;1.7.6.2.00.00.00 - Transferências de Convênios dos Estados e do Distrito Federal e de Suas Entidades;2510741,83;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.6.2.02.00.00;1.7.6.2.02.00.00 - Transferências de Convênios dos Estados Destinadas a Programas de Educação;1145023,65;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.6.2.99.00.00;1.7.6.2.99.00.00 - Outras Transferências de Convênios dos Estados;1365718,18;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.0.0.00.00.00;1.9.0.0.00.00.00 - Outras Receitas Correntes;1357388,26;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.1.0.00.00.00;1.9.1.0.00.00.00 - Multas e Juros de Mora;440533,40;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.1.1.00.00.00;1.9.1.1.00.00.00 - Multas e Juros de Mora dos Tributos;231825,19;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.1.2.00.00.00;1.9.1.2.00.00.00 - Multas e Juros de Mora das Contribuições;797,82;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.1.3.00.00.00;1.9.1.3.00.00.00 - Multas e Juros de Mora da Dívida Ativa dos Tributos;204869,76;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.1.9.00.00.00;1.9.1.9.00.00.00 - Multas de Outras Origens;3040,63;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.2.0.00.00.00;1.9.2.0.00.00.00 - Indenizações e Restituições;63311,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.2.2.00.00.00;1.9.2.2.00.00.00 - Restituições;63311,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.2.2.99.00.00;1.9.2.2.99.00.00 - Outras Restituições;63311,13;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.3.0.00.00.00;1.9.3.0.00.00.00 - Receita da Dívida Ativa;851041,89;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.3.1.00.00.00;1.9.3.1.00.00.00 - Receita da Dívida Ativa Tributária;851041,89;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.9.9.0.00.00.00;1.9.9.0.00.00.00 - Receitas Diversas;2501,84;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.0.0.0.00.00.00;2.0.0.0.00.00.00 - Receitas de Capital;5434805,99;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.0.0.00.00.00;2.4.0.0.00.00.00 - Transferências de Capital;5434805,99;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.0.00.00.00;2.4.7.0.00.00.00 - Transferências de Convênios;5434805,99;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.1.00.00.00;2.4.7.1.00.00.00 - Transferências de Convênios da União e de suas Entidades;2629808,55;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.1.02.00.00;2.4.7.1.02.00.00 - Transferências de Convênios da União Destinadas a Programas de Educação;101994,97;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.1.99.00.00;2.4.7.1.99.00.00 - Outras Transferências de Convênios da União;2527813,58;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.2.00.00.00;2.4.7.2.00.00.00 - Transferências de Convênios dos Estados e do Distrito Federal e de suas Entidades;2804997,44;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.2.01.00.00;2.4.7.2.01.00.00 - Transferências de Convênios dos Estados para o Sistema Único de Saúde - SUS;800000,00;37230
2014;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO2.4.7.2.99.00.00;2.4.7.2.99.00.00 - Outras Transferências de Convênios dos Estados;2004997,44;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;80781994,99;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - Transferências Constitucionais;TotalReceitas;Total Receitas;7978969,56;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;75359721,62;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Deduções - Transferências Constitucionais;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;7978969,56;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;10028692,54;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;8467331,03;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;3806476,64;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;1343135,19;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.00.00;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;1391748,39;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.31.00;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;1251618,48;37230
2015;Prefeitura Municipal de Pimenta Bueno - RO;1100189;RO;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.34.00;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;140129,91;37230
