script,dep_orig_name,regua,acao,serie_propria
compostos_recalc_dw,educ1,proprio,pular,comp_educ;comp_citec;comp_infra;comp_dessoc;comp_sust;comp_governativas;comp_objetivo1;comp_objetivo2;comp_objetivo3;comp_objetivo4
compostos_recalc_dw,educ2,proprio,pular,
compostos_recalc_dw,educ3,proprio,pular,
compostos_recalc_dw,educ4,proprio,pular,
compostos_recalc_dw,citec1,proprio,pular,
compostos_recalc_dw,citec2,proprio,pular,
compostos_recalc_dw,citec3,proprio,pular,
compostos_recalc_dw,citec4,proprio,avisar,
compostos_recalc_dw,infra1,proprio,avisar,
compostos_recalc_dw,infra2,proprio,pular,
compostos_recalc_dw,infra3,proprio,pular,
compostos_recalc_dw,infra4,proprio,pular,
compostos_recalc_dw,dessoc1,proprio,pular,
compostos_recalc_dw,dessoc2,proprio,pular,
compostos_recalc_dw,dessoc3,proprio,pular,
compostos_recalc_dw,dessoc4,proprio,pular,
compostos_recalc_dw,sust1,proprio,pular,
compostos_recalc_dw,sust2,proprio,pular,
compostos_recalc_dw,sust3,proprio,pular,
compostos_recalc_dw,sust4,proprio,avisar,
compostos_recalc_dw,governativas1,proprio,pular,
compostos_recalc_dw,governativas2,proprio,pular,
compostos_recalc_dw,governativas3,proprio,pular,
compostos_recalc_dw,governativas4,proprio,pular,
compostos_recalc_dw,objetivo1_1,proprio,pular,
compostos_recalc_dw,objetivo1_2,proprio,pular,
compostos_recalc_dw,objetivo1_3,proprio,pular,
compostos_recalc_dw,objetivo2_1,proprio,pular,
compostos_recalc_dw,objetivo2_2,proprio,pular,
compostos_recalc_dw,objetivo2_3,proprio,pular,
compostos_recalc_dw,objetivo3_1,proprio,pular,
compostos_recalc_dw,objetivo3_2,proprio,pular,
compostos_recalc_dw,objetivo3_3,proprio,pular,
compostos_recalc_dw,objetivo4_1,proprio,pular,
compostos_recalc_dw,objetivo4_2,proprio,pular,
compostos_recalc_dw,objetivo4_3,proprio,pular,
massa_salarial_municipal,datasus_popmun,fonte,pular,
objetivo1_diferenciais_recalc,ideb_media_basico_redep,proprio,avisar,objetivo1_2_via_aedi;objetivo1_3_via_aedi
objetivo1_diferenciais_recalc,ideb_basico_rede_mediana,proprio,avisar,
objetivo1_diferenciais_recalc,profissionais_de_saude_pc,proprio,pular,
objetivo1_diferenciais_recalc,prof_saude_pc_mediana_nacional,proprio,pular,
objetivo4_1_via_aedi_recalc,emprego_formal_municipal,proprio,pular,
primazia_populacional_estadual,datasus_popmun,fonte,pular,primazia_populacional_estadual
primazia_populacional_estadual,maxpopestadual,proprio,pular,
sincroniza_via_aedi_local,objetivo1_1_via_aedi,proprio,avisar,objetivo1_1;objetivo1_2;objetivo1_3;objetivo2_2;objetivo2_3;objetivo3_1;objetivo3_2;objetivo3_3
sincroniza_via_aedi_local,objetivo1_2_via_aedi,proprio,avisar,
sincroniza_via_aedi_local,objetivo1_3_via_aedi,proprio,avisar,
sincroniza_via_aedi_local,objetivo2_2_via_aedi,proprio,avisar,
sincroniza_via_aedi_local,objetivo2_3_via_aedi,proprio,avisar,
sincroniza_via_aedi_local,objetivo3_1_via_aedi,proprio,avisar,
sincroniza_via_aedi_local,objetivo3_2_via_aedi,proprio,avisar,
sincroniza_via_aedi_local,objetivo3_3_via_aedi,proprio,avisar,
